target,guesses,guess_count,is_common,won_in_6
aahed,slate-radar-aahed,3,False,True
aalii,slate-molar-dally-aalii,4,False,True
aapas,slate-oasis-brand-pouch-vamps-aapas,6,False,True
aargh,slate-corny-parka-aargh,4,False,True
aarti,slate-taint-cacti-aarti,4,False,True
abaca,slate-churn-aback-abaca,4,False,True
abaci,slate-churn-aback-abaca-abaci,5,False,True
aback,slate-churn-aback,3,True,True
abacs,slate-curbs-abacs,3,False,True
abaft,slate-grunt-adapt-await-abaft,5,False,True
abaht,slate-grunt-adapt-await-abaft-abaht,6,False,True
abaka,slate-churn-foamy-abaka,4,False,True
abamp,slate-churn-foamy-abamp,4,False,True
aband,slate-churn-piano-aband,4,False,True
abase,slate-cease-phase-abase,4,True,True
abash,slate-curbs-abash,3,True,True
abask,slate-curbs-abash-abask,4,False,True
abate,slate-corgi-abate,3,True,True
abaya,slate-churn-foamy-abaya,4,False,True
abbas,slate-oasis-wrung-abbas,4,True,True
abbed,slate-radar-amend-ached-abbed,5,False,True
abbes,slate-ashen-arses-aides-abbes,5,False,True
abbey,slate-radar-hyena-abbey,4,True,True
abbot,slate-tabor-abbot,3,True,True
abcee,slate-corgi-dance-abcee,4,False,True
abeam,slate-radar-abeam,3,False,True
abear,slate-radar-abear,3,False,True
abeat,slate-treed-wheat-abeat,4,False,True
abeer,slate-radar-anger-amber-abeer,5,False,True
abele,slate-bangs-amble-abele,4,False,True
abeng,slate-radar-hyena-abeng,4,False,True
abers,slate-ashen-aegis-areas-abers,5,False,True
abets,slate-abets,2,False,True
abeys,slate-ashen-aegis-areas-abeys,5,False,True
abhor,slate-corny-armor-abhor,4,True,True
abide,slate-corgi-naive-abide,4,True,True
abies,slate-ashen-arses-aides-abies,5,False,True
abius,slate-oasis-minas-acids-abius,5,False,True
abjad,slate-corny-mafia-abjad,4,False,True
abjud,slate-corny-mafia-abuzz-abjud,5,False,True
abled,slate-rangy-medal-abled,4,True,True
abler,slate-rangy-feral-abler,4,False,True
ables,slate-laser-axles-ables,4,False,True
ablet,slate-paler-ablet,3,False,True
ablow,slate-molar-aglow-ablow,4,False,True
abmho,slate-corny-adobo-abmho,4,False,True
abnet,slate-treed-facet-abnet,4,False,True
abode,slate-corgi-abode,3,True,True
abohm,slate-corny-adobo-abohm,4,False,True
aboil,slate-molar-aioli-aboil,4,True,True
aboma,slate-corny-adobo-abohm-aboma,5,False,True
aboon,slate-corny-wagon-axion-aboon,5,False,True
abord,slate-corny-armor-agora-abord,5,False,True
abore,slate-corgi-adore-afore-abore,5,False,True
aborn,slate-corny-adorn-aborn,4,False,True
abort,slate-tabor-abort,3,True,True
about,slate-tabor-about,3,True,True
above,slate-corgi-abode-above,4,True,True
abram,slate-corny-parka-abram,4,False,True
abray,slate-corny-parry-abray,4,False,True
abrim,slate-corny-parka-abrim,4,False,True
abrin,slate-corny-quran-abrin,4,False,True
abris,slate-oasis-abris,3,False,True
absey,slate-ashen-arses-absey,4,False,True
absit,slate-antsy-ascot-absit,4,False,True
abuna,slate-corny-mixup-fauna-abuna,5,False,True
abune,slate-corgi-maybe-abune,4,False,True
abura,slate-corny-rabid-abura,4,False,True
aburn,slate-corny-urban-aburn,4,False,True
abuse,slate-crump-abuse,3,True,True
abuts,slate-nymph-vista-dwarf-abuts,5,False,True
abuzz,slate-corny-mafia-abuzz,4,True,True
abyes,slate-ashen-arses-aides-abbes-abyes,6,False,True
abysm,slate-oasis-bursa-abysm,4,False,True
abyss,slate-oasis-abyss,3,True,True
acais,slate-curbs-acais,3,False,True
acara,slate-churn-acara,3,False,True
acari,slate-churn-acara-acari,4,False,True
accas,slate-oasis-wrung-abbas-accas,5,False,True
accha,slate-corny-magic-accha,4,False,True
accoy,slate-corny-accoy,3,False,True
accra,slate-corny-vicar-accra,4,False,True
acedy,slate-radar-amend-acedy,4,False,True
acene,slate-corgi-dance-acene,4,False,True
acerb,slate-radar-opera-acerb,4,False,True
acers,slate-ashen-aegis-areas-abers-acers,6,False,True
aceta,slate-earth-aceta,3,False,True
achar,slate-corny-vicar-achar,4,False,True
ached,slate-radar-amend-ached,4,True,True
acher,slate-radar-anger-amber-acher,5,False,True
aches,slate-ashen-aches,3,True,True
achey,slate-radar-hyena-achey,4,False,True
achoo,slate-corny-macho-achoo,4,True,True
acids,slate-oasis-minas-acids,4,True,True
acidy,slate-corny-wacky-acidy,4,False,True
acies,slate-ashen-arses-aides-abies-acies,6,False,True
acing,slate-corny-acing,3,True,True
acini,slate-corny-acing-acini,4,False,True
ackee,slate-corgi-dance-abcee-ackee,5,False,True
acker,slate-radar-anger-amber-acher-acker,6,False,True
acmes,slate-ashen-arses-aides-abbes-acmes,6,False,True
acmic,slate-corny-magic-acmic,4,False,True
acned,slate-radar-amend-acned,4,False,True
acnes,slate-ashen-acnes,3,False,True
acock,slate-corny-macho-acock,4,False,True
acoel,slate-rangy-medal-acoel,4,False,True
acold,slate-molar-aioli-ahold-acold,5,False,True
acone,slate-corgi-acone,3,False,True
acorn,slate-corny-acorn,3,True,True
acral,slate-molar-rural-viral-acral,5,False,True
acred,slate-radar-armed-aired-acred,5,False,True
acres,slate-ashen-arses-acres,4,True,True
acrid,slate-corny-march-acrid,4,True,True
acron,slate-corny-narco-acron,4,False,True
acros,slate-oasis-comas-acros,4,False,True
acryl,slate-molar-larva-acryl,4,False,True
actas,slate-antsy-astir-actas,4,False,True
acted,slate-treed-gated-acted,4,True,True
actin,slate-tabor-untag-actin,4,True,True
acton,slate-tabor-afoot-acton,4,True,True
actor,slate-tabor-actor,3,True,True
actus,slate-antsy-astir-actas-actus,5,False,True
acute,slate-acute,2,True,True
acyls,slate-balsa-usual-acyls,4,False,True
adage,slate-prick-mewed-adage,4,True,True
adapt,slate-grunt-adapt,3,True,True
adats,slate-combo-whats-adats,4,False,True
adawn,slate-churn-again-adawn,4,False,True
